variant,tag,final_MAPE,final_MAE_N,calib_MAE_N,best_epoch
PIMANN 完整模型,full,7.135012149810791,16.22811508178711,6.775622367858887,39
w/o CA,w_o_ca,9.345133781433105,21.178699493408203,6.284095764160156,22
w/o PMA,w_o_pma,8.622729301452637,19.659156799316406,8.057090759277344,22
w/o CA&PMA,w_o_ca_pma,9.345133781433105,21.178699493408203,6.284095764160156,22
单物理模态,single_mode,9.733415603637695,21.966243743896484,4.941943168640137,16
无Frobenius范数,mse_cov,8.622729301452637,19.659156799316406,8.057090759277344,22
