type,id,range_um,MAE_um,MAPE_pct
circle,1,4.074189301019374e-10,0.26574951171810435,39.73398974026941
rectangle,1,3.628666911422557e-10,0.265749511707537,39.73398973915713
circle,2,4.21367551039966e-10,0.30886745876458543,26.488198816643354
rectangle,2,3.624093992298568e-10,0.3088674587592067,26.488198816315716
circle,3,4.849458440608738e-10,0.08305969238172858,4.412302389545456
rectangle,3,3.347385269089533e-10,0.08305969238306599,4.41230238962579
circle,4,3.401383619476995e-10,0.2233060031353756,9.042252232185003
rectangle,4,3.8301601677065943e-10,0.22330600313166102,9.042252232036288
circle,5,3.0273889271110674e-10,0.059743720160353064,1.9203418157992365
rectangle,5,4.54484421695241e-10,0.05974372014689076,1.9203418153665446
circle,6,3.6911578258974273e-10,0.3558302815078377,9.117220904097728
rectangle,6,3.5792224219177715e-10,0.35583028149802004,9.117220903846961
circle,7,3.921051038111717e-10,0.09744713673929337,2.0746630288823527
rectangle,7,4.0449296066476584e-10,0.09744713673670814,2.074663028827367
circle,8,3.6296971152446553e-10,0.09127112491915512,1.7113328852163343
rectangle,8,3.5152629640705993e-10,0.09127112490716467,1.711332884991483
circle,9,3.7313918908920066e-10,0.19955769846620322,3.2192116403664226
rectangle,9,4.3064679697713687e-10,0.19955769846359964,3.219211640327805
circle,10,3.61196024532915e-10,0.25051066063649186,3.4379781463941597
rectangle,10,3.859403980210549e-10,0.25051066063213473,3.4379781463339074
